"filename", "language", "Vue", "TypeScript", "JSON", "SCSS", "XML", "comment", "blank", "total"
"f:\研奇\dashboard-view\src\i18n\zh\message.ts", "TypeScript", 0, 5, 0, 0, 0, 1, 1, 7
"f:\研奇\dashboard-view\src\i18n\zh\msg.ts", "TypeScript", 0, 13, 0, 0, 0, 3, 2, 18
"f:\研奇\dashboard-view\src\i18n\zh\project.ts", "TypeScript", 0, 13, 0, 0, 0, 2, 2, 17
"f:\研奇\dashboard-view\src\layout\components\LayoutFooter\index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 1, 3
"f:\研奇\dashboard-view\src\layout\components\LayoutFooter\index.vue", "Vue", 32, 0, 0, 0, 0, 0, 3, 35
"f:\研奇\dashboard-view\src\layout\components\LayoutHeaderPro\index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 1, 3
"f:\研奇\dashboard-view\src\layout\components\LayoutHeaderPro\index.vue", "Vue", 35, 0, 0, 0, 0, 0, 4, 39
"f:\研奇\dashboard-view\src\layout\components\LayoutHeader\index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 1, 3
"f:\研奇\dashboard-view\src\layout\components\LayoutHeader\index.vue", "Vue", 71, 0, 0, 0, 0, 3, 6, 80
"f:\研奇\dashboard-view\src\layout\components\LayoutMain\index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 2, 4
"f:\研奇\dashboard-view\src\layout\components\LayoutMain\index.vue", "Vue", 10, 0, 0, 0, 0, 0, 1, 11
"f:\研奇\dashboard-view\src\layout\components\LayoutTransitionMain\index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 2, 4
"f:\研奇\dashboard-view\src\layout\components\LayoutTransitionMain\index.vue", "Vue", 14, 0, 0, 0, 0, 0, 1, 15
"f:\研奇\dashboard-view\src\layout\index.vue", "Vue", 6, 0, 0, 0, 0, 0, 1, 7
"f:\研奇\dashboard-view\src\layout\parentLayout.vue", "Vue", 3, 0, 0, 0, 0, 0, 1, 4
"f:\研奇\dashboard-view\src\main.ts", "TypeScript", 0, 44, 0, 0, 0, 17, 23, 84
"f:\研奇\dashboard-view\src\packages\chartConfiguration\echarts\axis.ts", "TypeScript", 0, 52, 0, 0, 0, 4, 1, 57
"f:\研奇\dashboard-view\src\packages\chartConfiguration\echarts\index.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 4
"f:\研奇\dashboard-view\src\packages\chartConfiguration\echarts\label.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 1, 8
"f:\研奇\dashboard-view\src\packages\chartConfiguration\echarts\legend.ts", "TypeScript", 0, 66, 0, 0, 0, 4, 1, 71
"f:\研奇\dashboard-view\src\packages\chartConfiguration\echarts\line.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 1, 19
"f:\研奇\dashboard-view\src\packages\components\Charts\AirConditioner\Dry\config.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 3, 20
"f:\研奇\dashboard-view\src\packages\components\Charts\AirConditioner\Dry\config.vue", "Vue", 25, 0, 0, 0, 0, 0, 5, 30
"f:\研奇\dashboard-view\src\packages\components\Charts\AirConditioner\Dry\index.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 2, 16
"f:\研奇\dashboard-view\src\packages\components\Charts\AirConditioner\Dry\index.vue", "Vue", 37, 0, 0, 0, 0, 0, 7, 44
"f:\研奇\dashboard-view\src\packages\components\Charts\AirConditioner\Fan2\config.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 3, 20
"f:\研奇\dashboard-view\src\packages\components\Charts\AirConditioner\Fan2\config.vue", "Vue", 25, 0, 0, 0, 0, 0, 5, 30
"f:\研奇\dashboard-view\src\packages\components\Charts\AirConditioner\Fan2\index.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 1, 15
"f:\研奇\dashboard-view\src\packages\components\Charts\AirConditioner\Fan2\index.vue", "Vue", 37, 0, 0, 0, 0, 0, 7, 44
"f:\研奇\dashboard-view\src\packages\components\Charts\AirConditioner\Humidify\config.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 3, 20
"f:\研奇\dashboard-view\src\packages\components\Charts\AirConditioner\Humidify\config.vue", "Vue", 25, 0, 0, 0, 0, 0, 5, 30
"f:\研奇\dashboard-view\src\packages\components\Charts\AirConditioner\Humidify\index.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 1, 15
"f:\研奇\dashboard-view\src\packages\components\Charts\AirConditioner\Humidify\index.vue", "Vue", 37, 0, 0, 0, 0, 0, 7, 44
"f:\研奇\dashboard-view\src\packages\components\Charts\AirConditioner\Snow\config.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 3, 20
"f:\研奇\dashboard-view\src\packages\components\Charts\AirConditioner\Snow\config.vue", "Vue", 25, 0, 0, 0, 0, 0, 5, 30
"f:\研奇\dashboard-view\src\packages\components\Charts\AirConditioner\Snow\index.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 1, 15
"f:\研奇\dashboard-view\src\packages\components\Charts\AirConditioner\Snow\index.vue", "Vue", 37, 0, 0, 0, 0, 0, 7, 44
"f:\研奇\dashboard-view\src\packages\components\Charts\AirConditioner\Sun\config.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 3, 20
"f:\研奇\dashboard-view\src\packages\components\Charts\AirConditioner\Sun\config.vue", "Vue", 25, 0, 0, 0, 0, 0, 5, 30
"f:\研奇\dashboard-view\src\packages\components\Charts\AirConditioner\Sun\index.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 1, 15
"f:\研奇\dashboard-view\src\packages\components\Charts\AirConditioner\Sun\index.vue", "Vue", 37, 0, 0, 0, 0, 0, 8, 45
"f:\研奇\dashboard-view\src\packages\components\Charts\AirConditioner\Switch\config.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 3, 19
"f:\研奇\dashboard-view\src\packages\components\Charts\AirConditioner\Switch\config.vue", "Vue", 25, 0, 0, 0, 0, 0, 2, 27
"f:\研奇\dashboard-view\src\packages\components\Charts\AirConditioner\Switch\index.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 1, 15
"f:\研奇\dashboard-view\src\packages\components\Charts\AirConditioner\Switch\index.vue", "Vue", 92, 0, 0, 0, 0, 0, 12, 104
"f:\研奇\dashboard-view\src\packages\components\Charts\AirConditioner\index.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 1, 8
"f:\研奇\dashboard-view\src\packages\components\Charts\Devices\Door\config.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 3, 20
"f:\研奇\dashboard-view\src\packages\components\Charts\Devices\Door\config.vue", "Vue", 25, 0, 0, 0, 0, 0, 5, 30
"f:\研奇\dashboard-view\src\packages\components\Charts\Devices\Door\index.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 1, 15
"f:\研奇\dashboard-view\src\packages\components\Charts\Devices\Door\index.vue", "Vue", 36, 0, 0, 0, 0, 0, 7, 43
"f:\研奇\dashboard-view\src\packages\components\Charts\Devices\HumanSensor\config.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 3, 20
"f:\研奇\dashboard-view\src\packages\components\Charts\Devices\HumanSensor\config.vue", "Vue", 25, 0, 0, 0, 0, 0, 5, 30
"f:\研奇\dashboard-view\src\packages\components\Charts\Devices\HumanSensor\index.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 1, 15
"f:\研奇\dashboard-view\src\packages\components\Charts\Devices\HumanSensor\index.vue", "Vue", 43, 0, 0, 0, 0, 0, 7, 50
"f:\研奇\dashboard-view\src\packages\components\Charts\Devices\Led\config.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 4, 21
"f:\研奇\dashboard-view\src\packages\components\Charts\Devices\Led\config.vue", "Vue", 25, 0, 0, 0, 0, 0, 5, 30
"f:\研奇\dashboard-view\src\packages\components\Charts\Devices\Led\index.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 1, 15
"f:\研奇\dashboard-view\src\packages\components\Charts\Devices\Led\index.vue", "Vue", 45, 0, 0, 0, 0, 0, 7, 52
"f:\研奇\dashboard-view\src\packages\components\Charts\Devices\MotorDevice\config.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 3, 17
"f:\研奇\dashboard-view\src\packages\components\Charts\Devices\MotorDevice\config.vue", "Vue", 7, 0, 0, 0, 0, 0, 4, 11
"f:\研奇\dashboard-view\src\packages\components\Charts\Devices\MotorDevice\index.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 1, 15
"f:\研奇\dashboard-view\src\packages\components\Charts\Devices\MotorDevice\index.vue", "Vue", 83, 0, 0, 0, 0, 0, 14, 97
"f:\研奇\dashboard-view\src\packages\components\Charts\Devices\Motor\config.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 4, 21
"f:\研奇\dashboard-view\src\packages\components\Charts\Devices\Motor\config.vue", "Vue", 24, 0, 0, 0, 0, 0, 5, 29
"f:\研奇\dashboard-view\src\packages\components\Charts\Devices\Motor\index.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 1, 15
"f:\研奇\dashboard-view\src\packages\components\Charts\Devices\Motor\index.vue", "Vue", 45, 0, 0, 0, 0, 0, 8, 53
"f:\研奇\dashboard-view\src\packages\components\Charts\Devices\WaterSensor\config.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 3, 20
"f:\研奇\dashboard-view\src\packages\components\Charts\Devices\WaterSensor\config.vue", "Vue", 25, 0, 0, 0, 0, 0, 5, 30
"f:\研奇\dashboard-view\src\packages\components\Charts\Devices\WaterSensor\index.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 1, 15
"f:\研奇\dashboard-view\src\packages\components\Charts\Devices\WaterSensor\index.vue", "Vue", 36, 0, 0, 0, 0, 0, 7, 43
"f:\研奇\dashboard-view\src\packages\components\Charts\Devices\index.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 3, 16
"f:\研奇\dashboard-view\src\packages\components\Charts\Gauges\GaugeCommon\config.ts", "TypeScript", 0, 101, 0, 0, 0, 10, 6, 117
"f:\研奇\dashboard-view\src\packages\components\Charts\Gauges\GaugeCommon\config.vue", "Vue", 154, 0, 0, 0, 0, 2, 5, 161
"f:\研奇\dashboard-view\src\packages\components\Charts\Gauges\GaugeCommon\index.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 2, 16
"f:\研奇\dashboard-view\src\packages\components\Charts\Gauges\GaugeCommon\index.vue", "Vue", 224, 0, 0, 0, 0, 0, 25, 249
"f:\研奇\dashboard-view\src\packages\components\Charts\Gauges\TemperatureChart\config.ts", "TypeScript", 0, 114, 0, 0, 0, 2, 4, 120
"f:\研奇\dashboard-view\src\packages\components\Charts\Gauges\TemperatureChart\config.vue", "Vue", 185, 0, 0, 0, 0, 4, 11, 200
"f:\研奇\dashboard-view\src\packages\components\Charts\Gauges\TemperatureChart\index.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 2, 15
"f:\研奇\dashboard-view\src\packages\components\Charts\Gauges\TemperatureChart\index.vue", "Vue", 81, 0, 0, 0, 0, 0, 8, 89
"f:\研奇\dashboard-view\src\packages\components\Charts\Gauges\index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 2, 4
"f:\研奇\dashboard-view\src\packages\components\Charts\Lines\LineCommon\config.ts", "TypeScript", 0, 49, 0, 0, 0, 1, 4, 54
"f:\研奇\dashboard-view\src\packages\components\Charts\Lines\LineCommon\config.vue", "Vue", 70, 0, 0, 0, 0, 1, 4, 75
"f:\研奇\dashboard-view\src\packages\components\Charts\Lines\LineCommon\data.json", "JSON", 0, 0, 40, 0, 0, 0, 1, 41
"f:\研奇\dashboard-view\src\packages\components\Charts\Lines\LineCommon\index.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 1, 15
"f:\研奇\dashboard-view\src\packages\components\Charts\Lines\LineCommon\index.vue", "Vue", 76, 0, 0, 0, 0, 0, 9, 85
"f:\研奇\dashboard-view\src\packages\components\Charts\Lines\index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 2, 4
"f:\研奇\dashboard-view\src\packages\components\Charts\Mores\DigitFrame\config.ts", "TypeScript", 0, 69, 0, 0, 0, 0, 5, 74
"f:\研奇\dashboard-view\src\packages\components\Charts\Mores\DigitFrame\config.vue", "Vue", 43, 0, 0, 0, 0, 0, 4, 47
"f:\研奇\dashboard-view\src\packages\components\Charts\Mores\DigitFrame\index.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 1, 15
"f:\研奇\dashboard-view\src\packages\components\Charts\Mores\DigitFrame\index.vue", "Vue", 56, 0, 0, 0, 0, 0, 9, 65
"f:\研奇\dashboard-view\src\packages\components\Charts\Mores\Online\config.ts", "TypeScript", 0, 17, 0, 0, 0, 3, 2, 22
